"RESP_NO","REGION","Q1","Q6A","Q6B","Q6C","Q6D","Q6E","Q29B","Q37H","Q38A","Q38B","Q38F","Q84A","Q94","Q100","vio_97_21","night_2020mean","year"
"MLI0606",502,34,0,0,0,0,3,4,3,1,1,1,512,4,1,77,0.238176564560548,2022
"MLI0607",505,69,1,0,1,0,3,5,3,1,2,2,504,2,1,1783,0.0311674084375282,2022
"MLI0608",505,22,0,0,0,0,3,4,3,2,1,3,504,0,2,1783,0.0311674084375282,2022
"MLI0609",502,30,0,0,0,0,3,1,3,1,1,1,500,0,2,77,0.238176564560548,2022
"MLI0610",502,67,2,0,0,0,3,4,3,0,0,2,500,0,1,77,0.238176564560548,2022
"MLI0611",502,34,4,0,3,0,4,4,3,1,2,2,512,1,1,77,0.238176564560548,2022
"MLI0612",502,39,0,1,2,0,1,4,3,0,9,1,510,0,2,77,0.238176564560548,2022
"MLI0613",504,53,3,4,4,3,4,4,3,1,1,1,500,2,1,378,0.0836327634784406,2022
"MLI0614",504,70,4,4,3,3,3,3,3,3,0,1,500,0,1,378,0.0836327634784406,2022
"MLI0615",504,20,1,0,0,0,4,3,3,0,0,0,500,2,2,378,0.0836327634784406,2022
"MLI0616",504,30,0,0,0,0,0,4,3,1,1,1,500,0,2,378,0.0836327634784406,2022
"MLI0617",502,59,0,0,0,0,2,4,3,0,0,2,500,0,1,77,0.238176564560548,2022
"MLI0618",502,65,0,2,0,0,4,4,3,1,2,2,500,0,2,77,0.238176564560548,2022
"MLI0619",502,45,1,1,2,0,2,4,3,0,0,1,500,3,1,77,0.238176564560548,2022
"MLI0620",501,70,4,4,4,3,4,4,3,2,2,2,500,0,1,51,0.0677829536032446,2022
"MLI0621",501,52,3,0,0,0,0,4,3,0,1,3,500,0,1,51,0.0677829536032446,2022
"MLI0622",501,55,3,4,4,4,4,1,3,1,1,0,500,0,1,51,0.0677829536032446,2022
"MLI0623",504,28,0,4,4,4,4,4,3,1,1,1,500,0,2,378,0.0836327634784406,2022
"MLI0624",501,22,0,0,0,0,2,1,3,0,1,1,500,2,2,51,0.0677829536032446,2022
"MLI0625",502,37,0,0,0,0,2,3,3,0,0,0,500,0,2,77,0.238176564560548,2022
"MLI0626",504,75,0,4,3,0,2,4,3,1,1,1,500,2,1,378,0.0836327634784406,2022
"MLI0627",504,60,0,4,4,0,4,4,3,0,1,1,504,0,1,378,0.0836327634784406,2022
"MLI0628",505,50,0,0,0,0,2,4,3,3,3,3,504,2,1,1783,0.0311674084375282,2022
"MLI0629",504,39,1,2,2,3,2,3,3,1,1,2,500,0,2,378,0.0836327634784406,2022
"MLI0630",505,33,4,0,2,0,4,4,3,0,2,3,504,1,1,1783,0.0311674084375282,2022
"MLI0631",503,25,0,0,0,3,4,4,3,1,1,1,514,5,1,80,0.0571139595521401,2022
"MLI0632",503,40,2,3,2,2,2,3,3,2,2,2,500,0,2,80,0.0571139595521401,2022
"MLI0633",503,24,1,1,1,0,4,4,0,2,2,2,500,0,2,80,0.0571139595521401,2022
"MLI0634",505,27,4,0,4,0,4,1,3,3,3,3,504,5,2,1783,0.0311674084375282,2022
"MLI0635",501,38,4,0,4,0,4,4,3,2,2,2,500,0,2,51,0.0677829536032446,2022
"MLI0636",501,25,0,0,0,0,4,1,3,0,0,0,500,2,2,51,0.0677829536032446,2022
"MLI0637",505,29,3,0,0,2,4,1,0,0,2,3,504,0,2,1783,0.0311674084375282,2022
"MLI0638",501,87,0,0,0,0,3,4,3,9,1,2,514,0,1,51,0.0677829536032446,2022
"MLI0639",503,32,1,2,2,1,3,4,3,1,1,1,502,6,1,80,0.0571139595521401,2022
"MLI0640",503,42,0,4,3,0,3,4,3,1,1,2,508,0,2,80,0.0571139595521401,2022
"MLI0641",503,20,0,0,0,0,2,4,3,2,2,2,500,5,1,80,0.0571139595521401,2022
"MLI0642",501,23,3,0,0,0,4,4,3,1,2,2,508,2,2,51,0.0677829536032446,2022
"MLI0643",503,18,0,0,0,0,0,4,3,1,1,1,514,5,1,80,0.0571139595521401,2022
"MLI0644",502,20,1,0,0,0,0,3,3,0,1,1,500,2,2,77,0.238176564560548,2022
"MLI0645",502,25,4,2,4,2,4,4,3,0,0,3,500,5,1,77,0.238176564560548,2022
"MLI0646",502,55,0,0,0,0,2,1,3,0,0,0,500,0,1,77,0.238176564560548,2022
"MLI0647",502,27,3,3,2,0,4,4,3,1,1,1,500,3,1,77,0.238176564560548,2022
"MLI0648",503,40,1,0,1,0,3,3,3,1,1,3,514,0,2,80,0.0571139595521401,2022
"MLI0649",502,34,2,0,0,0,3,1,3,1,1,1,500,2,2,77,0.238176564560548,2022
"MLI0650",502,34,0,3,0,0,4,4,3,1,2,2,500,2,2,77,0.238176564560548,2022
"MLI0651",503,39,0,0,0,0,0,4,3,9,9,2,514,2,2,80,0.0571139595521401,2022
"MLI0652",502,52,0,0,0,0,1,4,3,1,1,1,500,0,1,77,0.238176564560548,2022
"MLI0653",502,26,3,0,0,0,3,3,3,0,9,9,500,0,2,77,0.238176564560548,2022
"MLI0654",503,49,0,0,0,0,0,1,1,1,3,1,517,4,2,80,0.0571139595521401,2022
"MLI0655",501,42,1,0,1,0,0,4,3,1,1,1,512,0,1,51,0.0677829536032446,2022
"MLI0656",501,80,0,4,1,1,1,4,3,9,9,0,512,0,1,51,0.0677829536032446,2022
"MLI0657",501,30,0,0,0,0,2,4,3,9,9,1,515,1,2,51,0.0677829536032446,2022
"MLI0658",501,40,4,0,3,0,4,4,3,0,1,3,500,1,1,51,0.0677829536032446,2022
"MLI0659",503,68,4,0,4,2,4,4,3,0,3,9,510,0,1,80,0.0571139595521401,2022
"MLI0660",503,35,0,0,0,0,0,4,3,1,1,2,512,8,1,80,0.0571139595521401,2022
"MLI0661",503,38,0,0,0,0,4,4,3,0,3,3,516,6,1,80,0.0571139595521401,2022
"MLI0662",501,48,3,0,0,2,3,4,3,1,1,1,512,0,2,51,0.0677829536032446,2022
"MLI0663",501,30,2,2,0,0,3,4,3,1,1,2,512,2,2,51,0.0677829536032446,2022
"MLI0664",503,32,0,0,0,0,0,4,3,0,0,3,504,7,1,80,0.0571139595521401,2022
"MLI0665",501,32,1,4,4,3,4,1,3,0,9,1,512,0,1,51,0.0677829536032446,2022
"MLI0666",504,55,2,0,2,1,4,1,3,0,1,1,504,0,2,378,0.0836327634784406,2022
"MLI0667",501,20,0,0,2,0,4,4,3,9,1,2,500,0,2,51,0.0677829536032446,2022
"MLI0668",504,55,3,3,2,2,4,4,1,1,1,1,504,3,1,378,0.0836327634784406,2022
"MLI0669",504,40,0,0,0,0,1,4,3,1,1,1,504,0,2,378,0.0836327634784406,2022
"MLI0670",504,45,2,0,0,0,3,3,3,0,0,0,504,0,2,378,0.0836327634784406,2022
"MLI0671",503,54,4,2,3,0,3,4,3,1,1,1,504,2,2,80,0.0571139595521401,2022
"MLI0672",504,48,2,2,3,2,3,4,3,0,0,0,504,0,2,378,0.0836327634784406,2022
"MLI0673",504,51,0,2,0,0,3,4,0,2,2,2,504,0,1,378,0.0836327634784406,2022
"MLI0674",504,56,3,4,4,0,3,3,3,0,0,0,504,0,1,378,0.0836327634784406,2022
"MLI0675",504,55,0,0,0,0,0,4,3,3,3,3,504,1,1,378,0.0836327634784406,2022
"MLI0676",503,45,0,0,0,0,0,4,3,2,3,3,514,0,2,80,0.0571139595521401,2022
"MLI0677",502,48,1,0,2,4,1,4,3,0,1,2,500,2,2,77,0.238176564560548,2022
"MLI0678",503,30,0,0,0,0,3,4,3,1,3,2,514,2,2,80,0.0571139595521401,2022
"MLI0679",503,52,2,2,2,0,4,4,3,1,1,2,512,0,2,80,0.0571139595521401,2022
"MLI0680",502,39,0,2,1,0,0,4,2,2,2,1,500,6,1,77,0.238176564560548,2022
"MLI0681",502,64,1,2,3,4,4,4,3,0,1,1,512,2,1,77,0.238176564560548,2022
"MLI0682",502,35,0,0,0,0,3,4,3,9,9,9,500,0,2,77,0.238176564560548,2022
